"Time (s) E5-Rod-T1","Angle (rad) E5-Rod-T1","Angular Velocity (rad/s) E5-Rod-T1","Angular Acceleration (rad/s²) E5-Rod-T1","Position (m) E5-Rod-T1","Velocity (m/s) E5-Rod-T1","Acceleration (m/s²) E5-Rod-T1","Time (s) E5-Rod-T2","Angle (rad) E5-Rod-T2","Angular Velocity (rad/s) E5-Rod-T2","Angular Acceleration (rad/s²) E5-Rod-T2","Position (m) E5-Rod-T2","Velocity (m/s) E5-Rod-T2","Acceleration (m/s²) E5-Rod-T2","Time (s) E5-Rod-T3","Angle (rad) E5-Rod-T3","Angular Velocity (rad/s) E5-Rod-T3","Angular Acceleration (rad/s²) E5-Rod-T3","Position (m) E5-Rod-T3","Velocity (m/s) E5-Rod-T3","Acceleration (m/s²) E5-Rod-T3","Time (s) E5-M1-T1","Angle (rad) E5-M1-T1","Angular Velocity (rad/s) E5-M1-T1","Angular Acceleration (rad/s²) E5-M1-T1","Position (m) E5-M1-T1","Velocity (m/s) E5-M1-T1","Acceleration (m/s²) E5-M1-T1","Time (s) E5-M1-T2","Angle (rad) E5-M1-T2","Angular Velocity (rad/s) E5-M1-T2","Angular Acceleration (rad/s²) E5-M1-T2","Position (m) E5-M1-T2","Velocity (m/s) E5-M1-T2","Acceleration (m/s²) E5-M1-T2","Time (s) E5-M1-T3","Angle (rad) E5-M1-T3","Angular Velocity (rad/s) E5-M1-T3","Angular Acceleration (rad/s²) E5-M1-T3","Position (m) E5-M1-T3","Velocity (m/s) E5-M1-T3","Acceleration (m/s²) E5-M1-T3","Time (s) E5-M2-T1","Angle (rad) E5-M2-T1","Angular Velocity (rad/s) E5-M2-T1","Angular Acceleration (rad/s²) E5-M2-T1","Position (m) E5-M2-T1","Velocity (m/s) E5-M2-T1","Acceleration (m/s²) E5-M2-T1","Time (s) E5-M2-T2","Angle (rad) E5-M2-T2","Angular Velocity (rad/s) E5-M2-T2","Angular Acceleration (rad/s²) E5-M2-T2","Position (m) E5-M2-T2","Velocity (m/s) E5-M2-T2","Acceleration (m/s²) E5-M2-T2","Time (s) E5-M2-T3","Angle (rad) E5-M2-T3","Angular Velocity (rad/s) E5-M2-T3","Angular Acceleration (rad/s²) E5-M2-T3","Position (m) E5-M2-T3","Velocity (m/s) E5-M2-T3","Acceleration (m/s²) E5-M2-T3","Time (s) E5-M3-T1","Angle (rad) E5-M3-T1","Angular Velocity (rad/s) E5-M3-T1","Angular Acceleration (rad/s²) E5-M3-T1","Position (m) E5-M3-T1","Velocity (m/s) E5-M3-T1","Acceleration (m/s²) E5-M3-T1","Time (s) E5-M3-T2","Angle (rad) E5-M3-T2","Angular Velocity (rad/s) E5-M3-T2","Angular Acceleration (rad/s²) E5-M3-T2","Position (m) E5-M3-T2","Velocity (m/s) E5-M3-T2","Acceleration (m/s²) E5-M3-T2","Time (s) E5-M3-T3","Angle (rad) E5-M3-T3","Angular Velocity (rad/s) E5-M3-T3","Angular Acceleration (rad/s²) E5-M3-T3","Position (m) E5-M3-T3","Velocity (m/s) E5-M3-T3","Acceleration (m/s²) E5-M3-T3","Time (s) E5-M4-T1","Angle (rad) E5-M4-T1","Angular Velocity (rad/s) E5-M4-T1","Angular Acceleration (rad/s²) E5-M4-T1","Position (m) E5-M4-T1","Velocity (m/s) E5-M4-T1","Acceleration (m/s²) E5-M4-T1","Time (s) E5-M4-T2","Angle (rad) E5-M4-T2","Angular Velocity (rad/s) E5-M4-T2","Angular Acceleration (rad/s²) E5-M4-T2","Position (m) E5-M4-T2","Velocity (m/s) E5-M4-T2","Acceleration (m/s²) E5-M4-T2","Time (s) E5-M4-T3","Angle (rad) E5-M4-T3","Angular Velocity (rad/s) E5-M4-T3","Angular Acceleration (rad/s²) E5-M4-T3","Position (m) E5-M4-T3","Velocity (m/s) E5-M4-T3","Acceleration (m/s²) E5-M4-T3"
0.000,0.002,,,3.7500E-5,,,0.000,0.006,,,1.5000E-4,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,-0.003,,,-7.5000E-5,,,0.000,-0.003,,,-7.5000E-5,,,0.000,-0.002,,,-3.7500E-5,,,0.000,0.002,,,3.7500E-5,,,0.000,-0.002,,,-3.7500E-5,,,0.000,0.003,,,7.5000E-5,,,0.000,-0.002,,,-3.7500E-5,,,0.000,-0.003,,,-7.5000E-5,,,0.000,0.003,,,7.5000E-5,,,0.000,-0.002,,,-3.7500E-5,,,0.000,0.002,,,3.7500E-5,,
0.010,0.003,0.236,,7.5000E-5,0.006,,0.010,0.019,1.335,,4.5000E-4,0.032,,0.010,-0.002,-0.079,,-3.7500E-5,-0.002,,0.010,0.002,0.157,,3.7500E-5,0.004,,0.010,-0.011,-0.707,,-2.6250E-4,-0.017,,0.010,-0.008,-0.471,,-1.8750E-4,-0.011,,0.010,-0.006,-0.471,,-1.5000E-4,-0.011,,0.010,0.005,0.393,,1.1250E-4,0.009,,0.010,-0.005,-0.314,,-1.1250E-4,-0.008,,0.010,0.008,0.628,,1.8750E-4,0.015,,0.010,-0.006,-0.471,,-1.5000E-4,-0.011,,0.010,-0.011,-0.707,,-2.6250E-4,-0.017,,0.010,0.011,0.785,,2.6250E-4,0.019,,0.010,-0.002,-0.079,,-3.7500E-5,-0.002,,0.010,0.006,0.628,,1.5000E-4,0.015,
0.020,0.006,0.209,-2.618,1.5000E-4,0.005,-0.063,0.020,0.033,1.335,-1.309,7.8750E-4,0.032,-0.031,0.020,-0.002,-0.079,1.309,-3.7500E-5,-0.002,0.031,0.020,0.003,0.209,3.927,7.5000E-5,0.005,0.094,0.020,-0.017,-0.628,5.236,-4.1250E-4,-0.015,0.125,0.020,-0.013,-0.445,-2.618,-3.0000E-4,-0.011,-0.062,0.020,-0.011,-0.393,9.163,-2.6250E-4,-0.009,0.219,0.020,0.009,0.367,-1.309,2.2500E-4,0.009,-0.031,0.020,-0.008,-0.209,10.472,-1.8750E-4,-0.005,0.250,0.020,0.016,0.759,3.927,3.7500E-4,0.018,0.094,0.020,-0.011,-0.550,-6.545,-2.6250E-4,-0.013,-0.156,0.020,-0.017,-0.733,-2.618,-4.1250E-4,-0.017,-0.063,0.020,0.019,0.838,5.236,4.5000E-4,0.020,0.125,0.020,-0.003,-0.183,-7.854,-7.5000E-5,-0.004,-0.187,0.020,0.014,0.681,5.236,3.3750E-4,0.016,0.125
0.030,0.008,0.183,-2.182,1.8750E-4,0.004,-0.052,0.030,0.046,1.309,-6.981,0.0011,0.031,-0.167,0.030,-0.003,-0.052,3.491,-7.5000E-5,-0.001,0.083,0.030,0.006,0.236,3.054,1.5000E-4,0.006,0.073,0.030,-0.024,-0.602,-1.745,-5.6250E-4,-0.014,-0.042,0.030,-0.016,-0.524,-6.981,-3.7500E-4,-0.012,-0.167,0.030,-0.014,-0.288,10.908,-3.3750E-4,-0.007,0.260,0.030,0.013,0.367,-1.110E-14,3.0000E-4,0.009,-1.735E-16,0.030,-0.009,-0.105,8.290,-2.2500E-4,-0.003,0.198,0.030,0.025,0.707,-3.927,6.0000E-4,0.017,-0.094,0.030,-0.017,-0.602,-3.927,-4.1250E-4,-0.014,-0.094,0.030,-0.025,-0.759,-0.873,-6.0000E-4,-0.018,-0.021,0.030,0.027,0.890,2.182,6.3750E-4,0.021,0.052,0.030,-0.006,-0.236,-4.800,-1.5000E-4,-0.006,-0.115,0.030,0.020,0.733,5.672,4.8750E-4,0.017,0.135
0.040,0.009,0.157,-1.309,2.2500E-4,0.004,-0.031,0.040,0.060,1.204,-11.781,0.0014,0.029,-0.281,0.040,-0.003,0.000,4.363,-7.5000E-5,-6.776E-19,0.104,0.040,0.008,0.262,3.054,1.8750E-4,0.006,0.073,0.040,-0.028,-0.681,-5.236,-6.7500E-4,-0.016,-0.125,0.040,-0.022,-0.628,-7.418,-5.2500E-4,-0.015,-0.177,0.040,-0.017,-0.157,10.472,-4.1250E-4,-0.004,0.250,0.040,0.016,0.367,1.309,3.7500E-4,0.009,0.031,0.040,-0.009,-0.026,5.236,-2.2500E-4,-6.250E-4,0.125,0.040,0.031,0.576,-2.618,7.5000E-4,0.014,-0.063,0.040,-0.024,-0.628,-1.745,-5.6250E-4,-0.015,-0.042,0.040,-0.033,-0.759,0.873,-7.8750E-4,-0.018,0.021,0.040,0.038,0.890,-0.436,9.0000E-4,0.021,-0.010,0.040,-0.008,-0.262,-3.054,-1.8750E-4,-0.006,-0.073,0.040,0.028,0.785,6.109,6.7500E-4,0.019,0.146
0.050,0.011,0.157,-0.873,2.6250E-4,0.004,-0.021,0.050,0.071,1.047,-14.399,0.0017,0.025,-0.344,0.050,-0.003,0.052,3.927,-7.5000E-5,0.001,0.094,0.050,0.011,0.288,3.491,2.6250E-4,0.007,0.083,0.050,-0.036,-0.759,-4.363,-8.6250E-4,-0.018,-0.104,0.050,-0.030,-0.707,-4.363,-7.1250E-4,-0.017,-0.104,0.050,-0.017,-0.052,6.981,-4.1250E-4,-0.001,0.167,0.050,0.020,0.393,2.182,4.8750E-4,0.009,0.052,0.050,-0.009,0.000,2.182,-2.2500E-4,0.000,0.052,0.050,0.035,0.576,4.800,8.2500E-4,0.014,0.115,0.050,-0.030,-0.628,-0.436,-7.1250E-4,-0.015,-0.010,0.050,-0.041,-0.733,2.182,-9.7500E-4,-0.017,0.052,0.050,0.046,0.864,-1.745,0.0011,0.021,-0.042,0.050,-0.011,-0.288,-2.182,-2.6250E-4,-0.007,-0.052,0.050,0.036,0.864,6.109,8.6250E-4,0.021,0.146
0.060,0.013,0.157,-1.745,3.0000E-4,0.004,-0.042,0.060,0.080,0.890,-14.399,0.0019,0.021,-0.344,0.060,-0.002,0.079,3.491,-3.7500E-5,0.002,0.083,0.060,0.014,0.340,3.491,3.3750E-4,0.008,0.083,0.060,-0.046,-0.785,-1.745,-0.0011,-0.019,-0.042,0.060,-0.036,-0.707,-1.745,-8.6250E-4,-0.017,-0.042,0.060,-0.017,0.000,2.182,-4.1250E-4,0.000,0.052,0.060,0.024,0.419,3.054,5.6250E-4,0.010,0.073,0.060,-0.009,0.000,0.436,-2.2500E-4,0.000,0.010,0.060,0.041,0.733,7.418,9.7500E-4,0.018,0.177,0.060,-0.036,-0.628,-2.220E-14,-8.6250E-4,-0.015,-8.674E-17,0.060,-0.047,-0.707,3.054,-0.0011,-0.017,0.073,0.060,0.053,0.838,-1.745,0.0013,0.020,-0.042,0.060,-0.014,-0.314,-1.309,-3.3750E-4,-0.008,-0.031,0.060,0.046,0.916,5.672,0.0011,0.022,0.135
0.070,0.014,0.131,-3.491,3.3750E-4,0.003,-0.083,0.070,0.088,0.759,-13.526,0.0021,0.018,-0.323,0.070,-0.002,0.105,4.363,-3.7500E-5,0.003,0.104,0.070,0.017,0.367,2.618,4.1250E-4,0.009,0.063,0.070,-0.052,-0.759,-1.309,-0.0012,-0.018,-0.031,0.070,-0.044,-0.707,-1.309,-0.0010,-0.017,-0.031,0.070,-0.017,-0.026,-0.873,-4.1250E-4,-6.250E-4,-0.021,0.070,0.028,0.445,3.491,6.7500E-4,0.011,0.083,0.070,-0.009,0.000,0.436,-2.2500E-4,0.000,0.010,0.070,0.050,0.838,1.309,0.0012,0.020,0.031,0.070,-0.042,-0.628,-1.110E-14,-0.0010,-0.015,8.674E-17,0.070,-0.055,-0.681,3.491,-0.0013,-0.016,0.083,0.070,0.063,0.838,-1.309,0.0015,0.020,-0.031,0.070,-0.017,-0.314,-0.873,-4.1250E-4,-0.008,-0.021,0.070,0.055,0.969,5.236,0.0013,0.023,0.125
0.080,0.016,0.079,-3.927,3.7500E-4,0.002,-0.094,0.080,0.096,0.628,-12.654,0.0023,0.015,-0.302,0.080,0.000,0.157,5.672,0.0000,0.004,0.135,0.080,0.022,0.393,1.309,5.2500E-4,0.009,0.031,0.080,-0.060,-0.785,-2.182,-0.0014,-0.019,-0.052,0.080,-0.050,-0.733,-2.182,-0.0012,-0.017,-0.052,0.080,-0.017,-0.052,-0.873,-4.1250E-4,-0.001,-0.021,0.080,0.033,0.497,3.491,7.8750E-4,0.012,0.083,0.080,-0.009,0.000,2.182,-2.2500E-4,0.000,0.052,0.080,0.060,0.759,-5.672,0.0014,0.018,-0.135,0.080,-0.049,-0.628,0.000,-0.0012,-0.015,1.735E-16,0.080,-0.061,-0.628,3.054,-0.0015,-0.015,0.073,0.080,0.071,0.812,-0.436,0.0017,0.019,-0.010,0.080,-0.020,-0.314,-1.745,-4.8750E-4,-0.007,-0.042,0.080,0.064,1.021,5.236,0.0015,0.024,0.125
0.090,0.016,0.026,-2.182,3.7500E-4,6.250E-4,-0.052,0.090,0.101,0.497,-11.345,0.0024,0.012,-0.271,0.090,0.002,0.236,6.109,3.7500E-5,0.006,0.146,0.090,0.025,0.393,1.309,6.0000E-4,0.009,0.031,0.090,-0.068,-0.838,-1.309,-0.0016,-0.020,-0.031,0.090,-0.058,-0.759,-2.182,-0.0014,-0.018,-0.052,0.090,-0.019,-0.052,1.309,-4.5000E-4,-0.001,0.031,0.090,0.038,0.524,2.182,9.0000E-4,0.013,0.052,0.090,-0.009,0.026,5.672,-2.2500E-4,6.250E-4,0.135,0.090,0.066,0.628,-5.236,0.0016,0.015,-0.125,0.090,-0.055,-0.628,1.665E-14,-0.0013,-0.015,2.602E-16,0.090,-0.068,-0.602,2.618,-0.0016,-0.014,0.062,0.090,0.079,0.812,-0.436,0.0019,0.019,-0.010,0.090,-0.024,-0.340,-3.054,-5.6250E-4,-0.008,-0.073,0.090,0.075,1.073,4.800,0.0018,0.026,0.115
